cameraLocation,cameraNumber,cameraProject,Location 1
Mosher St and N Dukeland St,919,Southwest District,"(39.299255000000002, -76.663437000000002)"
Poplar Grove St and W Lafayette Ave,920,Southwest District,"(39.297976559818473, -76.665206104516983)"
N Franklintown Rd and N Longwood St,921,Southwest District,"(39.296934999999998, -76.666835000000006)"
Poplar Grove St and Rayner Ave,922,Southwest District,"(39.296185241301409, -76.66509747505188)"
Poplar Grove St and Edmonson Ave,923,Southwest District,"(39.294520498647252, -76.664807796478271)"
Edmonson Ave and Braddish Ave,924,Southwest District,"(39.294743642883837, -76.659277081489563)"
Edmonson Ave and N Warwick Ave,925,Southwest District,"(39.294821483729272, -76.656215339899063)"
Edmonson Ave and Denison St,926,Southwest District,"(39.294188375675823, -76.674053370952606)"
Edmonson Ave and Swan Ave,927,Southwest District,"(39.293488836513561, -76.693826615810394)"
Edmonson Ave and N Loudon Ave,928,Southwest District,"(39.293879084741981, -76.682463437318802)"
Edmonson Ave and Allendale St,929,Southwest District,"(39.294061753378138, -76.678285896778107)"
N Rosedale St and Brighton St,930,Southwest District,"(39.304449753980592, -76.668744746696802)"
Riggs Ave and Dukeland St,931,Southwest District,"(39.30051054141488, -76.664808250587782)"
Riggs Ave and Braddish Ave,932,Southwest District,"(39.300825609370811, -76.664776017663257)"
W Pratt St and S Stricker St,1001,Tri-District,"(39.285454000000001, -76.640803000000005)"
McHenry St and Stricker St,1002,Tri-District,"(39.284448169100003, -76.640737652799999)"
S Stricker St and Ramsay St,1003,Tri-District,"(39.283346000000002, -76.640686000000002)"
S Parrish St and McHenry St,1004,Tri-District,"(39.284448169100003, -76.641437709300007)"
S Parrish St and Ramsay St,1005,Tri-District,"(39.283307999999998, -76.641401000000002)"
McHenry St and S Gilmor St,1006,Tri-District,"(39.284400419603813, -76.642113626003265)"
S Gilmor St and Ramsay St,1007,Tri-District,"(39.283275184067982, -76.642089486122131)"
W Pratt St and S Mount St,1008,Tri-District,"(39.285320109761699, -76.643621027469635)"
McHenry St and S Mount St,1009,Tri-District,"(39.284365126512903, -76.643553972244263)"
S Mount St and Ramsay St,1010,Tri-District,"(39.283258575290013, -76.643511056900024)"
W Pratt St and S Fulton Ave,1011,Tri-District,"(39.285251000000002, -76.645048000000003)"
S Fulton St and McHenry St,1012,Tri-District,"(39.284333985535561, -76.644980907440186)"
Wilhelm St and S Fulton Ave,1013,Tri-District,"(39.283769999999997, -76.644948999999997)"
Ramsay St and S Fulton Ave,1014,Tri-District,"(39.283206672833437, -76.644911170005798)"
McHenry St and S Addison St,1015,Tri-District,"(39.284306996677337, -76.645788252353668)"
W Pratt St and S Monroe St,1016,Tri-District,"(39.285175000000002, -76.646775000000005)"
S Monroe St and Wilhelm St,1017,Tri-District,"(39.283693999999997, -76.646686111099996)"
S Monroe St and Ramsay St,1018,Tri-District,"(39.283147, -76.646665999999996)"
S Payson St and McHenry St,1019,Tri-District,"(39.284199041140461, -76.648443639278412)"
S Payson St and Ramsay St,1020,Tri-District,"(39.283082, -76.648398999999998)"
S Payson St and Ashton St,1021,Tri-District,"(39.282814999999999, -76.648392999999999)"
S Pulaski St and McHenry,1022,Tri-District,"(39.284172052199999, -76.649824976900007)"
S Pulaski St and Wilhelm St,1023,Tri-District,"(39.283599054451308, -76.649784743785858)"
S Pulaski St and Ramsay St,1024,Tri-District,"(39.283009, -76.649782999999999)"
S Pulaski St and Ashton St,1025,Tri-District,"(39.282387, -76.649771999999999)"
S Smallwood St and Ramsay St,1026,Tri-District,"(39.28293, -76.651205000000004)"
Smallwood and Ashton,1027,Tri-District,"(39.281931999999998, -76.651190999999997)"
W Pratt St and S Carey St,1028,Tri-District,"(39.285587, -76.637984000000003)"
Lombard and Carrolton,1029,Tri-District,"(39.286544583008506, -76.63597502223854)"
Pennsylvania Ave and Baker St,1101,Pennsylvania Ave,"(39.308384151367143, -76.639434413067562)"
N Carey St and Baker St,1102,Pennsylvania Ave,"(39.307995475867422, -76.640250552088872)"
Pennsylvania Ave and Gold St,1103,Pennsylvania Ave,"(39.308384151367143, -76.639434413067562)"
Pennsylvania Ave and Bloom St,1104,Pennsylvania Ave,"(39.306656185290649, -76.637159267198228)"
N Fremont Ave and Presstman St,1105,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)"
Pennsylvania Ave and Presstman St,1106,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)"
Division St and Presstman St,1107,Pennsylvania Ave,"(39.306200443138053, -76.637228893298399)"
Division St and Robert St,1108,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)"
Pennsylvania Ave and Robert St,1109,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)"
N Fremont Ave and Robert St,1110,Pennsylvania Ave,"(39.305111763845701, -76.635565546719363)"
Division St and Laurens St,1111,Pennsylvania Ave,"(39.304809930868302, -76.635305211615744)"
Pennsylvania Ave and Wilson St,1112,Pennsylvania Ave,"(39.303867730110362, -76.633557722093968)"
Division St and Islamic Way,1113,Pennsylvania Ave,"(39.304445927259223, -76.634215355201974)"
Pennsylvania Ave and Pitcher St,1114,Pennsylvania Ave,"(39.302954543048138, -76.633127656544033)"
N Fremont Ave and Pitcher St,1115,Pennsylvania Ave,"(39.302954543048138, -76.633127656544033)"
Mosher St and Argyle St,1116,Pennsylvania Ave,"(39.300941237258101, -76.634892536297116)"
Pennsylvania Ave and Mosher St,1118,Pennsylvania Ave,"(39.302488779792881, -76.632307900736237)"
Pennsylvania Ave and Mosher St,1118,Pennsylvania Ave,"(39.30259353519579, -76.632023671107888)"
E North Ave and Aisquith,1201,North Ave East,"(39.311186242489399, -76.602505769708756)"
E North Ave and Harford,1202,North Ave East,"(39.311423565115909, -76.600006371216125)"
E North Ave and Broadway,1203,North Ave East,"(39.311777042255628, -76.595705091476162)"
E North Ave and Wolfe,1204,North Ave East,"(39.312000108351818, -76.592325794941374)"
E North Ave and Washington,1205,North Ave East,"(39.312068683352287, -76.591144511670251)"
E North Ave and Chester,1206,North Ave East,"(39.312186330473097, -76.589700361483551)"
E North Ave and Collington,1207,North Ave East,"(39.312229187516991, -76.588435452524962)"
E North Ave and Belair,1208,North Ave East,"(39.312303202574391, -76.584863648659635)"
E North Ave and Port,1209,North Ave East,"(39.312303202574391, -76.584863648659635)"
E North Ave and Milton,1210,North Ave East,"(39.312163957974143, -76.582876963743857)"
Harford and 20th,1301,Harford Rd,"(39.313487785992642, -76.599725928871052)"
Harford and Broadway,1302,Harford Rd,"(39.31416178941965, -76.59886228943266)"
Harford and Darley,1303,Harford Rd,"(39.315068290101223, -76.597804931181258)"
Harford and Cliftview,1304,Harford Rd,"(39.315982284515293, -76.596817593295881)"
Harford and 25th,1305,Harford Rd,"(39.316861084164962, -76.596463813589111)"
Harford (Harbor City School),1306,Harford Rd,"(39.318459689166879, -76.594697469018016)"
Harford and Montpelier,1307,Harford Rd,"(39.318459689166879, -76.594697469018016)"
Harford and Homestead,1308,Harford Rd,"(39.318459689166879, -76.594697469018016)"
Harford and Abbotston,1309,Harford Rd,"(39.320478594226863, -76.592769787424359)"
Harford and Alameda,1310,Harford Rd,"(39.320478594226863, -76.592769787424359)"
Harford and Tivoly,1311,Harford Rd,"(39.322129844480479, -76.591145882793526)"
Harford and Fenwick,1312,Harford Rd,"(39.322585972163317, -76.590789523428185)"
Harford and Hugo,1313,Harford Rd,"(39.323849590957131, -76.589829681328524)"
Belair and Ravenwood,1401,Belair Rd,"(39.31532303105417, -76.582190468824152)"
Belair and Elmora,1402,Belair Rd,"(39.316015002473243, -76.579655350693287)"
Belair and Lyndale,1403,Belair Rd,"(39.315646208380038, -76.579763307694563)"
Belair and Elmley,1404,Belair Rd,"(39.316651146669983, -76.578579370095468)"
Belair (across from shopping center),1405,Belair Rd,"(39.318271431784339, -76.577467734275231)"
Belair and Cliftmont,1406,Belair Rd,"(39.319629088210981, -76.576560273839576)"
Belair and Mareco,1407,Belair Rd,"(39.320451434005207, -76.575053714978438)"
Belair and Clifton Park Terrace,1408,Belair Rd,"(39.321314464994281, -76.574454905190024)"
Belair and Erdman,1409,Belair Rd,"(39.32177331358092, -76.573810873579617)"
Belair and Sheldon,1410,Belair Rd,"(39.328073611119592, -76.565013598755243)"
Rusty Scupper,1901,Inner Harbor,"(39.281919479606877, -76.60772904753685)"
Rash Field,1902,Inner Harbor,"(39.281859271602698, -76.609304845333099)"
Carousel,1903,Inner Harbor,"(39.281846814767782, -76.610000878572464)"
Science Center,1904,Inner Harbor,"(39.2820066773143, -76.611624956130981)"
Spirit Of Baltimore,1905,Inner Harbor,"(39.285747000000001, -76.610810000000001)"
Visitor Center,1906,Inner Harbor,"(39.284265475336689, -76.612484604120255)"
Light Street Food Hall,1907,Inner Harbor,"(39.285390694963333, -76.61190927028656)"
Constellation,1908,Inner Harbor,"(39.285951221980007, -76.611388921737671)"
Constellation Pier,1909,Inner Harbor,"(39.285254714584973, -76.610821634531021)"
Trade Center,1910,Inner Harbor,"(39.286001046386623, -76.610176563262939)"
Pier 5 Hotel,1911,Inner Harbor,"(39.283756836916083, -76.606008410453796)"
Pier 5 Lighthouse,1912,Inner Harbor,"(39.28337483665311, -76.605211794376373)"
Pier 6 Pavillion,1913,Inner Harbor,"(39.283760999999998, -76.604619999999997)"
Charles and Conway,1920,Federal Reserve,"(39.284298515827047, -76.614453475966073)"
Sharp and Conway,1921,Federal Reserve,"(39.283978495492491, -76.617647055555054)"
182 Hamburgst,1922,Federal Reserve,"(39.278279435050841, -76.61803074859877)"
Pratt and Sharp,1923,Federal Reserve,"(39.286162239365261, -76.618011900419958)"
Pratt and Light,1924,Federal Reserve,"(39.286269232737787, -76.613997565987503)"
NE Market FoodCt,1941,Northeast Market,"(39.298141, -76.587517)"
NE Market North,1942,Northeast Market,"(39.298141, -76.587517)"
NE Market South,1943,Northeast Market,"(39.298141, -76.587517)"
NE Market Middle,1944,Northeast Market,"(39.298141, -76.587517)"
McElderry & Chester,1945,Northeast Market,"(39.297525, -76.587779999999995)"
Avenue Market Front,1961,Avenue Market,"(39.303537, -76.635647)"
Avenue Market Middle,1962,Avenue Market,"(39.303537, -76.635647)"
Avenue Market Back,1963,Avenue Market,"(39.303537, -76.635647)"
Pennsylvania and  Laurens,1964,Avenue Market,"(39.304338999999999, -76.635589999999993)"
Fremont and Laurens,1965,Avenue Market,"(39.303421999999998, -76.636830000000003)"
Avenue Market Parking Lot,1966,Avenue Market,"(39.303664891386482, -76.634952407020364)"
Southwest Corner,1980,Hollins Market,"(39.287529, -76.635958)"
Northwest Corner,1981,Hollins Market,"(39.287529, -76.635958)"
Aisle Cam 1,1982,Hollins Market,"(39.287529, -76.635958)"
Aisle Cam 2,1983,Hollins Market,"(39.287529, -76.635958)"
Aisle Cam 3,1984,Hollins Market,"(39.287529, -76.635958)"
Hollins St and Carrollton,1985,Hollins Market,"(39.287618999999999, -76.636679999999998)"
Boyd St Side Entrance,1986,Hollins Market,"(39.287292560487053, -76.635222600479935)"
Arlington Ave East Entrance,1987,Hollins Market,"(39.287365569154261, -76.634676307072198)"
553 Dolphin St,2001,McCulloh,"(39.299709886899997, -76.628770388800007)"
569 Dolphin St,2002,McCulloh,"(39.2994741658, -76.628246647200001)"
520 Hoffman St,2003,McCulloh,"(39.299569032500003, -76.627819812599995)"
517 Dolphin St,2004,McCulloh,"(39.300194856899999, -76.628212820200005)"
534 Preston St,2005,McCulloh,"(39.2994445713, -76.627014840900003)"
503 Dolphin St,2006,McCulloh,"(39.300440885, -76.627710906700003)"
535 Hoffman St,2007,McCulloh,"(39.299036022700001, -76.627951580900003)"
570 Preston St,2008,McCulloh,"(39.298552511899999, -76.627312922300007)"
556 Preston St,2009,McCulloh,"(39.298862438299999, -76.626914038199999)"
516 Preston St,2010,McCulloh,"(39.299079561500001, -76.626522870900004)"
514 Preston St,2011,McCulloh,"(39.299364911700003, -76.626601136299996)"
1020 Druid Hill Rd,2012,McCulloh,"(39.299944205000003, -76.626479001500002)"
1135 Tiffany Ct,2013,McCulloh,"(39.302018245500001, -76.625956896399998)"
1101 Tiffany Ct,2014,McCulloh,"(39.301602996699998, -76.625438251999995)"
1035 Tiffany Ct,2015,McCulloh,"(39.300995861192078, -76.625379849189699)"
1001 Tiffany Ct,2016,McCulloh,"(39.300815108099997, -76.624463592400005)"
440 Oxford Ct,2017,McCulloh,"(39.300550491700001, -76.625118487500004)"
443 Manse Ct,2018,McCulloh,"(39.301373687800002, -76.626496719299993)"
1134 Stoddard Ct,2019,McCulloh,"(39.3011098319, -76.627157996400001)"
1100 Stoddard Ct,2020,McCulloh,"(39.300701899499998, -76.626653211600001)"
1034 Stoddard Ct,2021,McCulloh,"(39.300325881200003, -76.626190746999995)"
1000 Stoddard Ct,2022,McCulloh,"(39.299891022700002, -76.625654182000005)"
442 Walton Ct,2023,McCulloh,"(39.299978103100003, -76.624747493800001)"
900 Stoddard Ct,2024,McCulloh,"(39.2989138943, -76.624478359600005)"
1638 Bruce Ct (rear),2101,Gilmore,"(39.307301043898839, -76.644212532490343)"
1638 Bruce Ct,2102,Gilmore,"(39.307275671799999, -76.645597160999998)"
1600 Bruce Ct (rear),2103,Gilmore,"(39.307301043898839, -76.644212532490343)"
1605 Bruce Ct,2104,Gilmore,"(39.307301043898839, -76.644212532490343)"
1601 Bakbury Ct,2105,Gilmore,"(39.307427718714969, -76.643890288047984)"
1679 Bakbury Ct,2106,Gilmore,"(39.307862028199999, -76.645106384599998)"
1678 Mountmor Ct,2107,Gilmore,"(39.307759654714587, -76.642965181000818)"
1600 Mountmor Ct,2108,Gilmore,"(39.3068001197, -76.6447164386)"
1600 Vincent Ct,2109,Gilmore,"(39.306818836600002, -76.644299108799999)"
1606 Vincent Ct,2110,Gilmore,"(39.3074507205, -76.644448813099999)"
1679 Vincent Ct,2111,Gilmore,"(39.307471450870644, -76.643610028536614)"
1641 Vincent Ct,2112,Gilmore,"(39.307393215899999, -76.644124656900004)"
1600 Spray Ct,2113,Gilmore,"(39.30586749958497, -76.64405307738943)"
1605-2 Spray Ct,2114,Gilmore,"(39.305785955600001, -76.644515020499995)"
1601-8 Spray Ct,2115,Gilmore,"(39.305900989800001, -76.644091696100006)"
1500 Pressman Ct,2116,Gilmore,"(39.305455128600002, -76.643905963899996)"
1519 Presser Ct,2117,Gilmore,"(39.305726004100002, -76.643559925299996)"
Prestman St and Gilmor St,2118,Gilmore,"(39.305304986490292, -76.643798951040964)"
1638 Balmor Ct,2119,Gilmore,"(39.305191825999998, -76.644086363100001)"
1458 Mountmor Ct,2120,Gilmore,"(39.305247873799999, -76.6446301159)"
1428 Mountmor Ct,2121,Gilmore,"(39.304809059500002, -76.644510936000003)"
1629 Balmor Ct (rear),2122,Gilmore,"(39.305304986490292, -76.643798951040964)"
1401 Mountmor Ct,2123,Gilmore,"(39.3044347827, -76.644281285100007)"
1639 Booker Ct,2124,Gilmore,"(39.304472998199998, -76.644048334900006)"
1601 Booker Ct,2125,Gilmore,"(39.304574795999997, -76.643408585399996)"
1629 Lorman Ct,2126,Gilmore,"(39.304000985000002, -76.643863016300003)"
1631 Lorman Ct,2127,Gilmore,"(39.3040667402, -76.644225277199993)"
1649 Lorman Ct,2128,Gilmore,"(39.303959339698046, -76.643873696150877)"
1658 Delano Ct,2129,Gilmore,"(39.303491577820743, -76.643880475942325)"
1628 Delano Ct,2130,Gilmore,"(39.303760068300001, -76.643845530500002)"
1600 Delano Ct,2131,Gilmore,"(39.303491577820743, -76.643880475942325)"
1521 Mountmor Ct,2132,Gilmore,"(39.30729341320874, -76.644573904997316)"
800 Abbott Ct,2201,Latrobe,"(39.301252981099999, -76.606166438399995)"
856 Abbott Ct,2202,Latrobe,"(39.301329715000001, -76.6050176161)"
818 Webb Ct,2203,Latrobe,"(39.301008857200003, -76.605686922800004)"
800 McAleer Ct,2204,Latrobe,"(39.3002994414, -76.605957631400003)"
834 McAleer Ct,2205,Latrobe,"(39.300311914200002, -76.605297114799995)"
864 McAleer Ct,2206,Latrobe,"(39.300041873700003, -76.604740619899999)"
831 McAleer Ct,2207,Latrobe,"(39.299977143500001, -76.6052816304)"
859 Homewood Ave,2208,Latrobe,"(39.299950172099997, -76.605899537599996)"
820 Hillman Ct,2209,Latrobe,"(39.299387499600002, -76.605709727499999)"
819 Hillman Ct,2210,Latrobe,"(39.299349693300002, -76.606075805900005)"
819 Homewood Ave,2211,Latrobe,"(39.301308069100003, -76.604304248700004)"
916 Webb Ct,2212,Latrobe,"(39.300778553999997, -76.603732930299998)"
921 Webb Ct,2213,Latrobe,"(39.300437637400002, -76.604302853899995)"
922 Ashland Ct,2214,Latrobe,"(39.300222632100002, -76.603784759600003)"
859 McAleer Ct,2215,Latrobe,"(39.299822194800001, -76.604397336999995)"
943 Wilmot Ct,2216,Latrobe,"(39.299207368099999, -76.603901042800004)"
1000 Abbott Ct,2217,Latrobe,"(39.3013607878, -76.602739491299999)"
1101 Webb Ct,2218,Latrobe,"(39.300600819000003, -76.602714787799997)"
1000 Ashland Ct,2219,Latrobe,"(39.300271800099999, -76.602871424200004)"
1020 McAleer Ct,2220,Latrobe,"(39.299868547199999, -76.603117526099993)"
1001 McAleer Ct,2221,Latrobe,"(39.299715513499997, -76.603547252499993)"
1116 McAleer Ct,2222,Latrobe,"(39.300148589199999, -76.602135833000006)"
1130 McAleer Ct,2223,Latrobe,"(39.299909153199998, -76.602239340200001)"
1101 Wilmot Ct,2224,Latrobe,"(39.299287831299999, -76.602728710899996)"
901 Valley Ct,2225,Latrobe,"(39.300227999999997, -76.604705999999993)"
901 Valley Ct,2226,Latrobe,"(39.300227999999997, -76.604705999999993)"
901 McAleer Ct,2227,Latrobe,"(39.29965, -76.604635999999999)"
200 Spring Ct,2301,Perkins,"(39.288974239799998, -76.598313985600001)"
299 Spring Ct,2302,Perkins,"(39.287503727000001, -76.598044038200001)"
264 Ballou Ct,2303,Perkins,"(39.2880273743, -76.597513632100004)"
229 Ballou Ct,2304,Perkins,"(39.288607452299999, -76.597212806200005)"
269 Dallas Ct,2305,Perkins,"(39.288149116, -76.596439407899993)"
231 Mason Ct,2306,Perkins,"(39.288642230000001, -76.595773403099997)"
299 Mason Ct,2307,Perkins,"(39.2876245462, -76.595752986899996)"
295 Mason Ct,2308,Perkins,"(39.2876798677, -76.595630791100007)"
200 Herring Ct,2309,Perkins,"(39.289112821300002, -76.595016511099999)"
270 Herring Ct,2310,Perkins,"(39.2880371173, -76.595337532200006)"
299 Herring Ct,2311,Perkins,"(39.2876651606, -76.594826320099997)"
354 Spring Ct,2312,Perkins,"(39.286491394700001, -76.598156452799998)"
Community Building,2313,Perkins,"(39.286951707900002, -76.597738824900006)"
1413 Gough St,2314,Perkins,"(39.287355871700001, -76.597432644899996)"
319 Ballou Ct,2315,Perkins,"(39.287110948600002, -76.597126314299999)"
330 Ballou Ct,2316,Perkins,"(39.2868832013, -76.597370629099998)"
326 Dallas Ct,2317,Perkins,"(39.287014668899999, -76.596626179500007)"
336 Mason Ct,2318,Perkins,"(39.2868506334, -76.596044637199995)"
329 Mason Ct,2319,Perkins,"(39.286979638600002, -76.5957165457)"
326 Herring Ct,2320,Perkins,"(39.287065456100002, -76.595261173699996)"
231 Orleans St,2401,PVG,"(39.294578571199999, -76.604043038100002)"
310 Forrest St,2402,PVG,"(39.294542796099996, -76.603084520500005)"
1110 New Hope Cir,2403,PVG,"(39.293739504800001, -76.601852599500006)"
1021 New Hope Cir,2404,PVG,"(39.293245954500001, -76.602703800300006)"
1008 New Hope Cir,2405,PVG,"(39.293911856299999, -76.603234208499998)"
1124 Colvin St,2406,PVG,"(39.292945798600002, -76.601830969000005)"
215 Saint Mathews St,2407,PVG,"(39.293632188799997, -76.603893050799996)"
1100 Colvin St,2408,PVG,"(39.292618239699998, -76.603336866999996)"
SE Corner of N Tot Lot,2409,PVG,"(39.294234879599998, -76.602139996199995)"
NW Corner of S Tot Lot,2410,PVG,"(39.293295260000001, -76.602212902399998)"
SE Corner of W Tot Lot,2411,PVG,"(39.2930222098, -76.603181076499993)"
Courtyard Play Area,2412,PVG,"(39.293431252600001, -76.601326081699995)"
NE Elderly Bldg Central Ave,2413,PVG,"(39.293473126199999, -76.600139368300006)"
NE Community Center,2414,PVG,"(39.293917434000001, -76.601228335399995)"
SE Elderly Bldg CentralAve,2415,PVG,"(39.292853416200003, -76.600115942800002)"
SW Elderly Bldg FayetteSt,2416,PVG,"(39.292815763599997, -76.600696993599996)"
Elderly Bldg Court Yard,2417,PVG,"(39.293000499400002, -76.600684489599999)"
Youth Center Fayette St,2418,PVG,"(39.291816666700001, -76.602983333300003)"
Daycare Center 1106 Fayette St,2419,PVG,"(39.292033634399999, -76.602226701899994)"
Daycare Center Play Area,2420,PVG,"(39.292481495899999, -76.601997844699994)"
NW Senior Center,2421,PVG,"(39.2934769883, -76.600734129800003)"
Greenmount and Madison,2501,Dept of Corrections,"(39.300040108901513, -76.608037511051066)"
Madison and Constitution,2502,Dept of Corrections,"(39.29889728324023, -76.609951448853508)"
Monument and Fallsway,2503,Dept of Corrections,"(39.297164133589519, -76.610634628978289)"
Eager St (Widows Peak),2504,Dept of Corrections,"(39.30137500901742, -76.609774318474194)"
Warden St Lot,2505,Dept of Corrections,"(39.301928097661524, -76.61026027300305)"
Fallsway and Eager,2506,Dept of Corrections,"(39.300916139855531, -76.611037617352324)"
JFX South,2507,Dept of Corrections,"(39.300441691635839, -76.61106079564594)"
JFX North,2508,Dept of Corrections,"(39.299624613118652, -76.611231166926743)"
N Charles St and Center St,2601,Midtown,"(39.296588623907333, -76.615371245613787)"
N Charles St and Madison St,2602,Midtown,"(39.298204874747853, -76.615859643155588)"
N Charles St and Read Ave,2603,Midtown,"(39.299588925174533, -76.615747008035569)"
Park Ave and Read St,2604,Midtown,"(39.300242641434217, -76.61862571161997)"
N Charles St and Eager St,2605,Midtown,"(39.300928290627837, -76.615753753359144)"
N Charles St and Chase St,2606,Midtown,"(39.302116821383819, -76.61592230885968)"
N Charles St and E Biddle St,2607,Midtown,"(39.303319497011273, -76.615908899597272)"
N Charles St and Preston St,2608,Midtown,"(39.304624295025803, -76.616370318828061)"
N Charles St and Mt Royal Ave,2609,Midtown,"(39.305447692495576, -76.616364223213708)"
N Charles St and Lanvale St,2610,Midtown,"(39.308870460173502, -76.61610089033239)"
N Charles St and North Ave,2611,Midtown,"(39.311620738528809, -76.616428653173926)"
N Charles St and 20th St,2612,Midtown,"(39.313036473695789, -76.616610334390259)"
